Word                100554newsML       100593newsML       100618newsML     
10                  0.054015039543393  0.071437980239685  0.074869886910736
113                 0.027007519771696  0.035718990119843  0.037434943455368
13                  0.000000000000000  0.060477507413860  0.000000000000000
130                 0.027007519771696  0.035718990119843  0.037434943455368
14                  0.000000000000000  0.060477507413860  0.000000000000000
150                 0.045727705955365  0.000000000000000  0.000000000000000
160                 0.027007519771696  0.035718990119843  0.037434943455368
1997                0.027007519771696  0.035718990119843  0.037434943455368
200                 0.045727705955365  0.000000000000000  0.000000000000000
2003                0.027007519771696  0.035718990119843  0.037434943455368
2004                0.045727705955365  0.000000000000000  0.000000000000000
225                 0.027007519771696  0.071437980239685  0.074869886910736
24                  0.000000000000000  0.045994703223404  0.048204305570723
39                  0.027007519771696  0.035718990119843  0.037434943455368
40                  0.027007519771696  0.035718990119843  0.037434943455368
400                 0.091455411910730  0.000000000000000  0.000000000000000
45                  0.027007519771696  0.035718990119843  0.037434943455368
54                  0.027007519771696  0.035718990119843  0.037434943455368
56                  0.000000000000000  0.091989406446807  0.048204305570723
6393                0.034777099031401  0.000000000000000  0.048204305570723
85                  0.045727705955365  0.000000000000000  0.000000000000000
ability             0.045727705955365  0.000000000000000  0.000000000000000
able                0.054015039543393  0.035718990119843  0.037434943455368
acceptable          0.000000000000000  0.045994703223404  0.048204305570723
achievements        0.000000000000000  0.045994703223404  0.048204305570723
added               0.027007519771696  0.035718990119843  0.037434943455368
adding              0.045727705955365  0.000000000000000  0.000000000000000
admitted            0.045727705955365  0.000000000000000  0.000000000000000
afford              0.045727705955365  0.000000000000000  0.000000000000000
agree               0.054015039543393  0.035718990119843  0.037434943455368
ahead               0.027007519771696  0.035718990119843  0.037434943455368
alastair            0.027007519771696  0.035718990119843  0.037434943455368
allow               0.027007519771696  0.071437980239685  0.074869886910736
already             0.045727705955365  0.000000000000000  0.000000000000000
although            0.027007519771696  0.035718990119843  0.037434943455368
analyst             0.045727705955365  0.000000000000000  0.000000000000000
analysts            0.045727705955365  0.000000000000000  0.000000000000000
anglo               0.027007519771696  0.035718990119843  0.037434943455368
angry               0.045727705955365  0.000000000000000  0.000000000000000
announced           0.054015039543393  0.071437980239685  0.074869886910736
announcement        0.027007519771696  0.107156970359528  0.074869886910736
annual              0.045727705955365  0.000000000000000  0.000000000000000
approval            0.054015039543393  0.035718990119843  0.037434943455368
around              0.027007519771696  0.071437980239685  0.074869886910736
arranged            0.045727705955365  0.000000000000000  0.000000000000000
asked               0.045727705955365  0.000000000000000  0.000000000000000
available           0.045727705955365  0.000000000000000  0.000000000000000
avoiding            0.045727705955365  0.000000000000000  0.000000000000000
awaited             0.027007519771696  0.035718990119843  0.037434943455368
back                0.027007519771696  0.035718990119843  0.037434943455368
bank                0.081022559315090  0.035718990119843  0.037434943455368
bankruptcy          0.045727705955365  0.000000000000000  0.000000000000000
banks               0.108030079086786  0.142875960479370  0.149739773821471
become              0.045727705955365  0.000000000000000  0.000000000000000
benefits            0.000000000000000  0.045994703223404  0.048204305570723
bill                0.091455411910730  0.000000000000000  0.000000000000000
billion             0.135037598858482  0.357189901198426  0.224609660732207
bonds               0.045727705955365  0.000000000000000  0.000000000000000
brighter            0.027007519771696  0.035718990119843  0.037434943455368
brings              0.027007519771696  0.071437980239685  0.074869886910736
brink               0.027007519771696  0.035718990119843  0.037434943455368
busiest             0.045727705955365  0.000000000000000  0.000000000000000
ca                  0.045727705955365  0.000000000000000  0.000000000000000
called              0.000000000000000  0.045994703223404  0.048204305570723
capped              0.045727705955365  0.000000000000000  0.000000000000000
cash                0.091455411910730  0.000000000000000  0.000000000000000
chairman            0.054015039543393  0.071437980239685  0.074869886910736
channel             0.054015039543393  0.071437980239685  0.074869886910736
choose              0.027007519771696  0.035718990119843  0.037434943455368
co                  0.054015039543393  0.071437980239685  0.074869886910736
collapse            0.045727705955365  0.000000000000000  0.000000000000000
come                0.091455411910730  0.000000000000000  0.000000000000000
commercial          0.027007519771696  0.035718990119843  0.037434943455368
companies           0.027007519771696  0.035718990119843  0.037434943455368
company             0.297082717488661  0.285751920958741  0.299479547642942
complex             0.045727705955365  0.000000000000000  0.000000000000000
compromise          0.000000000000000  0.045994703223404  0.048204305570723
conference          0.091455411910730  0.000000000000000  0.000000000000000
considerable        0.027007519771696  0.035718990119843  0.037434943455368
considerably        0.027007519771696  0.035718990119843  0.037434943455368
consolidate         0.027007519771696  0.035718990119843  0.037434943455368
constitute          0.045727705955365  0.000000000000000  0.000000000000000
construction        0.027007519771696  0.035718990119843  0.037434943455368
converted           0.027007519771696  0.035718990119843  0.037434943455368
costs               0.045727705955365  0.000000000000000  0.000000000000000
